NSEcode,BSEcode,ISIN,full_name,industry_name,industry_id,sector_name,sector_id,TL_SCORE
GUJTERC,524314,INE499G01013,Gujarat Terce Laboratories Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,71.053888888888877772842533886432647705078125
KABRADG,524322,INE323K01017,Kabra Drugs Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,
SEYAIND,524324,INE573R01012,Seya Industries Ltd.,Specialty Chemicals,109,Chemicals & Petrochemicals,2,
BCLIND,524332,INE412G01024,BCL Industries Ltd.,Edible Oils,37,FMCG,7,60.68583416666667318395411712117493152618408203125
SHHARICH,524336,INE065E01017,Shree Hari Chemicals Export Ltd.,Commodity Chemicals,22,Chemicals & Petrochemicals,2,
INDOBORAX,524342,INE803D01021,Indo Borax & Chemicals Ltd.,Commodity Chemicals,22,Chemicals & Petrochemicals,2,60.6991666666666702667498611845076084136962890625
BIOFILCHEM,524396,INE829A01014,Biofil Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,48.28722305555555749378982000052928924560546875
ISHITADR,524400,INE806D01016,Ishita Drugs & Industries Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,
UNIVSTAR,524408,INE113E01015,Universal Starch-chem Allied Ltd.,Other Agricultural Products,84,Food Beverages & Tobacco,4,65.899999166666674454972962848842144012451171875
AAREYDRUGS,524412,INE198H01019,Aarey Drugs & Pharmaceuticals Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,56.4655555555555537239342811517417430877685546875
ASINPET,524434,INE810M01019,Asian Petroproducts & Exports Ltd.,Commodity Chemicals,22,Chemicals & Petrochemicals,2,
CAMEXLTD,524440,INE198C01010,Camex Ltd.,Commodity Chemicals,22,Chemicals & Petrochemicals,2,81.503056388888893479816033504903316497802734375
KAVITIND,524444,INE313M01030,Evexia Lifecare Ltd.,Edible Oils,37,FMCG,7,59.2744452777777723895269446074962615966796875
INDOEURO,524458,INE319N01019,Indo Euro Indchem Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,
SYNCOMF,524470,INE312C01025,Syncom Formulation (India) Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,57.40861027777776826042099855840206146240234375
RIDDHI,524480,INE249D01019,Riddhi Siddhi Gluco Biols Ltd.,Commodity Trading  & Distribution,24,Commercial Services & Supplies,25,74.42138888888888459405279718339443206787109375
ATVPETRO,524488,INE038B01010,SVC Industries Ltd.,Misc. Commercial Services,78,Commercial Services & Supplies,25,
RAAJMEDI,524502,INE548H01015,Raaj Medisafe India Ltd.,Healthcare Supplies,53,Healthcare Equipment & Supplies,29,52.9022230555555523778821225278079509735107421875
CORALAB,524506,INE683E01017,Coral Laboratories Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,66.0308341666666791525130975060164928436279296875
TULASEEBIOE,524514,INE276N01011,Tulasee Bio-Ethanol Ltd.,Commodity Chemicals,22,Chemicals & Petrochemicals,2,
BACPHAR,524516,INE711D01018,Bacil Pharma Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,
KREBSBIO,524518,INE268B01013,Krebs Biochemicals & Industries Ltd.,Pharmaceuticals,99,Pharmaceuticals & Biotechnology,17,
KMCSHIL,524520,INE879K01018,KMC Speciality Hospitals (India) Ltd.,Healthcare Facilities,51,Diversified Consumer Services,15,43.03222305555555493583597126416862010955810546875
LAFFANSQ,524522,INE919B01011,Laffans Petrochemicals Ltd.,Commodity Chemicals,22,Chemicals & Petrochemicals,2,
SUKHJITS,524542,INE450E01011,Sukhjit Starch & Chemicals Ltd.,Other Agricultural Products,84,Food Beverages & Tobacco,4,59.1855555555555525870659039355814456939697265625
